url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,Ariel,Movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,8731,JP
,"Shadows in Paradise",Movie,"Comedy, Drama, Music",1986,tt0092149,7.5,7478,JP
,"Forrest Gump",Movie,"Drama, Romance",1994,tt0109830,8.8,2311997,JP
https://www.hulu.com/movie/865a225a-d824-480a-9133-05d284ec9785,"The Fifth Element",Movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,516291,JP
,"My Life Without Me",Movie,"Drama, Romance",2003,tt0314412,7.4,26019,JP
https://www.hulu.com/movie/6368126d-f388-4e94-8c13-fa3dd3918bdd,"Pirates of the Caribbean: The Curse of the Black Pearl",Movie,"Action, Adventure, Fantasy",2003,tt0325980,8.1,1235077,US
,Unforgiven,Movie,"Drama, Western",1992,tt0105695,8.2,443163,JP
,"12 Monkeys",Movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,654942,JP
,"Million Dollar Baby",Movie,"Drama, Sport",2004,tt0405159,8.1,731878,JP
,"War of the Worlds",Movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,482305,JP
,Memento,Movie,"Mystery, Thriller",2000,tt0209144,8.4,1346325,JP
,"Blade Runner",Movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,836896,JP
,Hero,Movie,"Action, Adventure, Drama",2002,tt0299977,7.9,189102,JP
,"Raiders of the Lost Ark",Movie,"Action, Adventure",1981,tt0082971,8.4,1052154,JP
,"Indiana Jones and the Temple of Doom",Movie,"Action, Adventure",1984,tt0087469,7.5,542737,JP
,"Indiana Jones and the Last Crusade",Movie,"Action, Adventure",1989,tt0097576,8.2,822834,JP
https://www.hulu.com/movie/4124bdba-2655-431f-830b-d5d04f61afce,Armageddon,Movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,457973,JP
,Predator,Movie,"Action, Adventure, Horror",1987,tt0093773,7.8,466240,US
https://www.hulu.com/movie/b5cfcec4-bcf8-440a-82ea-c6eb06f5183f,Snatch,Movie,"Comedy, Crime",2000,tt0208092,8.2,925730,US
https://www.hulu.com/movie/d4cddf96-fc7c-4a1a-ab19-f70f51e66252,"Pretty Woman",Movie,"Comedy, Romance",1990,tt0100405,7.1,373723,JP
,"Match Point",Movie,"Drama, Romance, Thriller",2005,tt0416320,7.6,230824,JP
,"Charlie and the Chocolate Factory",Movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,539610,JP
https://www.hulu.com/movie/1ac0b42c-6f5b-4d7f-8376-863e0d58efa3,"The Lord of the Rings: The Fellowship of the Ring",Movie,"Action, Adventure, Drama",2001,tt0120737,8.9,2052548,JP
https://www.hulu.com/movie/3c4e0a9f-c6f2-44f4-a703-a18c6be2a937,"The Lord of the Rings: The Two Towers",Movie,"Action, Adventure, Drama",2002,tt0167261,8.8,1823729,JP
https://www.hulu.com/movie/59cd97ff-5f9f-4b2f-9cdc-e803f7bb5ba9,"The Lord of the Rings: The Return of the King",Movie,"Action, Adventure, Drama",2003,tt0167260,9,2022805,JP
,"O Brother, Where Art Thou?",Movie,"Comedy, Crime, Drama",2000,tt0190590,7.7,335967,US
https://www.hulu.com/movie/d8e54a5a-3c0d-4c52-a212-df7bb42addcd,"Donnie Darko",Movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,864816,US
,"Wings of Desire",Movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,78966,JP
https://www.hulu.com/movie/64a5a8d0-1406-4178-97a5-2649504faa85,Akira,Movie,"Action, Animation, Drama",1988,tt0094625,8,210128,JP
,"Lost in Translation",Movie,"Comedy, Drama",2003,tt0335266,7.7,501286,JP
,"The Dark Knight",Movie,"Action, Crime, Drama",2008,tt0468569,9,2936136,JP
,"Edward Scissorhands",Movie,"Drama, Fantasy, Romance",1990,tt0099487,7.9,535377,US
,"Ocean's Twelve",Movie,"Crime, Thriller",2004,tt0349903,6.5,419986,JP
,"Breakfast at Tiffany's",Movie,"Comedy, Drama, Romance",1961,tt0054698,7.6,195186,JP
,"Back to the Future Part II",Movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,584808,JP
,"Predator 2",Movie,"Action, Horror, Sci-Fi",1990,tt0100403,6.3,187277,US
,Saw,Movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,478232,JP
,"Minority Report",Movie,"Action, Crime, Mystery",2002,tt0181689,7.6,592700,JP
